Time elapsed (s),Time elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,,,Heat Balance (%)
3758482538,0.634699996,23.562,18.348,22.409,20.432,12.294,20.463,141.3,0.011,395.931,24.721,14.29,0,0,0,0,0,0,99.041,0.001,0,240.187,7.578,131.963,10.575,120.825,5.094,5.449,25.469,261.173,30.357,4.882,1778.375,23.858,20.881,18.033,-21.985,30.427,14.345,9.251,0,0,3.597,0.215,3.439,15.66,11.699,0.011,0.009,13.833,13.821,13.78,14.58,14.604,14.369,13.724,13.742,13.646,14.466,14.198,14.161,12.864,13.293,13.171,13.887,23.009,3723,2178,4.491188175
3758482540,0.664933332,23.574,18.355,22.409,20.429,12.291,20.463,151.042,0.009,395.931,24.706,14.289,0,0,0,0,0,0,99.042,0.001,0,240.325,7.593,131.897,10.579,120.918,5.117,5.43,25.476,261.048,30.339,4.857,1778.444,23.836,20.894,18.014,-21.986,30.401,14.336,9.22,0,0,3.599,0.192,3.438,15.665,11.701,0.011,0.009,13.835,13.838,13.782,14.583,14.597,14.375,13.718,13.757,13.655,14.471,14.211,14.167,12.886,13.303,13.164,13.886,23.007,3723,2178,4.575813557
3758482542,0.701183327,23.577,18.339,22.409,20.431,12.279,20.462,131.829,0.01,395.923,24.721,14.289,0,0,0,0,0,0,99.044,0.001,0,240.311,7.593,131.963,10.585,120.908,5.114,5.439,25.478,260.981,30.33,4.846,1779.865,23.866,20.864,18.013,-21.985,30.412,14.348,9.234,0,0,3.599,0.206,3.459,15.636,11.658,0.011,0.009,13.831,13.82,13.78,14.594,14.61,14.373,13.733,13.764,13.659,14.473,14.218,14.147,12.877,13.296,13.164,13.88,23.014,3723,2178,3.967129498
3758482544,0.731416663,23.582,18.369,22.409,20.434,12.307,20.463,150.559,0.008,395.907,24.733,14.29,0,0,0,0,0,0,99.045,0.001,0,240.471,7.593,131.962,10.601,120.925,5.118,5.452,25.49,260.994,30.332,4.835,1779.846,23.853,20.874,18.027,-21.985,30.43,14.357,9.239,0,0,3.601,0.181,3.444,15.684,11.684,0.012,0.009,13.836,13.825,13.758,14.575,14.603,14.378,13.741,13.763,13.667,14.484,14.2,14.134,12.856,13.296,13.172,13.887,23.012,3723,2178,4.457061746
3758482546,0.766916664,23.561,18.351,22.409,20.44,12.311,20.463,149.446,0.01,395.947,24.706,14.288,0,0,0,0,0,0,99.041,0.001,0,240.369,7.576,131.961,10.605,120.892,5.111,5.463,25.508,261.065,30.342,4.828,1778.454,23.843,20.847,18.013,-21.985,30.442,14.37,9.259,0,0,3.599,0.204,3.443,15.665,11.71,0.011,0.009,13.845,13.829,13.789,14.569,14.596,14.376,13.724,13.748,13.653,14.467,14.206,14.131,12.864,13.291,13.171,13.892,23.027,3723,2178,4.4305595
3758482548,0.797199996,23.559,18.345,22.409,20.433,12.287,20.462,133.184,0.01,395.891,24.721,14.289,0,0,0,0,0,0,99.05,0.001,0,240.385,7.593,131.886,10.614,120.94,5.122,5.461,25.492,261.046,30.339,4.841,1777.182,23.854,20.862,18.026,-21.985,30.442,14.36,9.239,0,0,3.6,0.204,3.44,15.657,11.652,0.011,0.009,13.853,13.817,13.786,14.584,14.616,14.391,13.723,13.742,13.642,14.474,14.201,14.15,12.863,13.291,13.169,13.895,23.012,3723,2178,4.545454545
3758482549,0.821149993,23.557,18.355,22.409,20.439,12.307,20.462,133.186,0.008,395.915,24.7,14.29,0,0,0,0,0,0,99.045,0.001,0,240.253,7.605,131.963,10.589,120.958,5.126,5.431,25.498,260.78,30.302,4.798,1777.529,23.852,20.883,18.009,-21.987,30.47,14.337,9.211,0,0,3.597,0.182,3.449,15.674,11.666,0.011,0.009,13.841,13.813,13.773,14.606,14.636,14.378,13.731,13.757,13.639,14.477,14.24,14.176,12.854,13.287,13.174,13.883,23.01,3723,2178,4.200965087
3758482552,0.857266665,23.554,18.352,22.408,20.428,12.32,20.462,151.04,0.01,395.931,24.715,14.29,0,0,0,0,0,0,99.046,0.001,0,240.544,7.605,132.016,10.559,120.853,5.101,5.426,25.476,261,30.333,4.85,1778.118,23.868,20.926,18.028,-21.986,30.45,14.305,9.204,0,0,3.602,0.183,3.448,15.671,11.646,0.011,0.009,13.832,13.808,13.77,14.603,14.645,14.364,13.694,13.756,13.626,14.453,14.231,14.17,12.844,13.293,13.17,13.881,23.024,3723,2178,4.368794326
3758482553,0.887383334,23.552,18.363,22.409,20.442,12.299,20.463,152.243,0.01,395.931,24.739,14.289,0,0,0,0,0,0,99.043,0.001,0,240.422,7.593,132.015,10.592,121.12,5.165,5.395,25.469,261.054,30.34,4.866,1776.985,23.839,20.937,18.011,-21.985,30.444,14.317,9.152,0,0,3.6,0.207,3.439,15.69,11.669,0.012,0.009,13.835,13.807,13.789,14.607,14.641,14.374,13.716,13.758,13.64,14.465,14.228,14.185,12.849,13.294,13.165,13.892,23.019,3723,2178,4.574513425
3758482555,0.918566664,23.563,18.342,22.409,20.4,12.312,20.463,164.93,0.01,395.923,24.739,14.29,0,0,0,0,0,0,99.043,0.001,0,240.559,7.599,131.963,10.56,120.91,5.115,5.414,25.489,260.991,30.331,4.836,1776.085,23.856,20.839,18.007,-21.985,30.457,14.317,9.203,0,0,3.602,0.208,3.45,15.65,11.637,0.011,0.009,13.828,13.812,13.792,14.59,14.616,14.372,13.706,13.758,13.64,14.461,14.223,14.13,12.842,13.296,13.172,13.885,23.014,3723,2178,4.310833806
