Time elapsed (s),Time Elapsed (min),Tdb_in (C),Twb_in (C),RH_in,Tdb_out (C),Twb_out(C),RH_out(C),Q_dot_air_TriCoil (CFM),dP_nozzle_TriCoil (in W.G.),Pin_nozzle_TriCoil (in W.G),Outdoor Temp (C),Atm Pressure (PSI),Heater Output (kW),FMWP,FMEP,LBWP,LBEP,Steam Humidifier (%),Q_dot_air_wt (CFM),dP_nozzle (in W.G.),Pin_nozzle (PSIG),m_dot_r (kg/h),T_evap_in (C),P_evap_in_coolprop (PSI),T_evap_out (C),P_evap_out (PSIG),T_evap_sat (C),SH (K),T_exv_in (C),P_exv_in (PSIG),T_cond_sat (C),SC (K),m_dot_w (kg/h),T_w_in (C),P_w_in (PSIG),T_w_out (C),dp_w (in W.G.),Water Heater (% of total capacity),T_evap_out_TC (C),SH_TC (K),Water Reverse Flow,TriCoil Refr. Reverse Flow,Q_ref (tons),Q_air (tons),Q_w (tons),Inlet Air Dew Point (C),Outlet Air Dew Point (C),Inlet Air Humdity Ratio (kg/kg),Outlet Air Humidity Ratio (kg/kg),TriCoil Outlet (11),TriCoil Outlet (12),TriCoil Outlet (13),TriCoil Outlet (21),TriCoil Outlet (22),TriCoil Outlet (23),TriCoil Outlet (31),TriCoil Outlet (32),TriCoil Outlet (33),TriCoil Outlet (41),TriCoil Outlet (42),TriCoil Outlet (43),TriCoil Outlet (51),TriCoil Outlet (52),TriCoil Outlet (53) ,TriCoil Outlet (Avg),DB2_TC,Compresssor speed (RPM),
3757865447,0.640983335,20.448,17.286,19.13,20.181,12.414,18.491,145.138,0.011,398.211,22.472,14.373,0,0,0,0,0,0,98.479,0.001,0,242.013,9.483,140.42,12.351,130.612,7.411,4.907,24.383,243.68,27.841,3.451,1058.576,29.853,20.697,19.763,-22.386,32.003,17.069,9.658,0,0,3.661,0.342,3.545,15.593,6.165,0.011,0.006,16.199,16.168,16.372,17.124,16.963,17.02,15.354,15.677,15.609,17.018,16.893,16.718,14.496,14.773,14.408,16.039,20.169,3412,1769
3757865450,0.677433332,20.437,17.278,19.13,20.177,12.412,18.491,141.343,0.009,398.251,22.466,14.375,0,0,0,0,0,0,98.472,0.001,0,241.743,9.484,140.382,12.37,130.526,7.392,4.945,24.358,243.59,27.828,3.464,1059.571,29.827,20.702,19.745,-22.383,31.977,17.033,9.641,0,0,3.658,0.316,3.545,15.584,6.164,0.011,0.006,16.183,16.184,16.372,17.141,16.978,17.042,15.365,15.695,15.605,17.034,16.918,16.706,14.499,14.764,14.421,16.042,20.158,3412,1769
3757865451,0.70806667,20.418,17.282,19.129,20.197,12.433,18.606,144.154,0.009,398.298,22.467,14.373,0,0,0,0,0,0,98.465,0.001,0,241.699,9.483,140.388,12.376,130.658,7.422,4.92,24.354,243.525,27.818,3.458,1059.843,29.865,20.714,19.765,-22.381,31.985,17.044,9.621,0,0,3.658,0.306,3.553,15.602,6.197,0.011,0.006,16.191,16.177,16.405,17.109,16.97,17.014,15.342,15.674,15.614,17.029,16.874,16.709,14.5,14.758,14.421,16.036,20.154,3412,1769
3757865454,0.745150002,20.441,17.277,19.128,20.198,12.401,18.491,156.667,0.009,398.235,22.46,14.372,0,0,0,0,0,0,98.478,0.001,0,242.124,9.471,140.382,12.39,130.753,7.444,4.914,24.367,243.632,27.834,3.461,1060.757,29.86,20.69,19.749,-22.381,31.985,17.046,9.603,0,0,3.664,0.314,3.559,15.581,6.118,0.011,0.006,16.208,16.158,16.376,17.13,16.967,17.02,15.359,15.652,15.608,17.035,16.89,16.717,14.511,14.765,14.419,16.035,20.151,3412,1769
3757865455,0.775400003,20.461,17.297,19.129,20.215,12.386,18.491,141.696,0.011,398.227,22.46,14.372,0,0,0,0,0,0,98.478,0.001,0,241.714,9.488,140.326,12.377,130.678,7.426,4.918,24.371,243.776,27.855,3.478,1059.536,29.859,20.657,19.743,-22.382,31.957,17.064,9.638,0,0,3.657,0.344,3.557,15.604,6.064,0.011,0.006,16.187,16.16,16.368,17.124,16.964,17.021,15.345,15.649,15.601,17.021,16.882,16.731,14.504,14.778,14.399,16.031,20.163,3412,1769
3757865457,0.806683334,20.455,17.287,19.129,20.175,12.416,18.491,157.243,0.009,398.227,22.481,14.374,0,0,0,0,0,0,98.481,0.001,0,241.293,9.475,140.406,12.382,130.723,7.437,4.912,24.349,243.672,27.84,3.485,1059.938,29.863,20.707,19.759,-22.383,31.957,17.06,9.623,0,0,3.651,0.309,3.554,15.59,6.175,0.011,0.006,16.18,16.181,16.348,17.116,16.984,17.061,15.351,15.66,15.597,17.022,16.92,16.757,14.507,14.782,14.395,16.049,20.164,3412,1769
3757865459,0.843150004,20.432,17.29,19.129,20.207,12.411,18.49,152.675,0.011,398.259,22.471,14.373,0,0,0,0,0,0,98.47,0.001,0,241.712,9.497,140.345,12.38,130.696,7.431,4.916,24.36,243.664,27.839,3.472,1059.904,29.865,20.711,19.753,-22.381,32.002,17.044,9.613,0,0,3.657,0.343,3.557,15.608,6.132,0.011,0.006,16.161,16.169,16.348,17.114,16.994,17.03,15.342,15.627,15.554,17.032,16.919,16.737,14.502,14.774,14.377,16.049,20.177,3412,1769
3757865461,0.873616672,20.452,17.295,19.129,20.206,12.412,18.491,128.042,0.01,398.243,22.456,14.372,0,0,0,0,0,0,98.478,0.001,0,241.697,9.482,140.448,12.366,130.724,7.437,4.896,24.349,243.573,27.825,3.47,1059.852,29.848,20.691,19.735,-22.381,31.989,17.002,9.565,0,0,3.657,0.333,3.557,15.604,6.138,0.011,0.006,16.158,16.147,16.296,17.136,17.015,17.028,15.348,15.625,15.561,17.037,16.91,16.73,14.48,14.771,14.365,16.049,20.149,3412,1769
3757865463,0.904983338,20.427,17.296,19.128,20.17,12.426,18.489,159.155,0.007,398.211,22.447,14.373,0,0,0,0,0,0,98.481,0.001,0,241.768,9.508,140.379,12.305,130.758,7.445,4.827,24.363,243.509,27.815,3.446,1060.414,29.848,20.65,19.735,-22.381,31.995,17.026,9.582,0,0,3.656,0.279,3.559,15.62,6.205,0.011,0.006,16.175,16.143,16.306,17.132,17.037,17.052,15.341,15.628,15.542,17.033,16.931,16.752,14.489,14.778,14.351,16.047,20.153,3412,1769
3757865465,0.935566672,20.436,17.31,19.129,20.194,12.437,18.49,135.646,0.011,398.243,22.454,14.373,0,0,0,0,0,0,98.471,0.001,0,241.742,9.498,140.498,12.334,130.635,7.417,4.885,24.371,243.466,27.809,3.432,1060.055,29.885,20.742,19.719,-22.379,31.969,17.032,9.616,0,0,3.657,0.347,3.576,15.639,6.209,0.011,0.006,16.154,16.137,16.335,17.14,17.015,17.018,15.34,15.624,15.531,17.025,16.93,16.747,14.482,14.768,14.349,16.054,20.163,3412,1769
